Year,Race,Sex,Age,Pop
2001,B,M,20-24,97286
2001,W,M,20-24,353749
2001,AI,F,25-29,2856
2001,API,F,25-29,34173
2001,B,F,25-29,95247
2001,W,F,25-29,338219
2001,AI,M,25-29,3036
2001,API,M,25-29,33998
2001,B,M,25-29,88802
2001,W,M,25-29,343839
2001,AI,F,30-34,2971
2001,API,F,30-34,33761
2001,B,F,30-34,99422
2001,W,F,30-34,380041
2001,AI,M,30-34,3022
2001,API,M,30-34,33279
2001,B,M,30-34,91542
2001,W,M,30-34,387962
2001,AI,F,35-39,3505
2001,API,F,35-39,29632
2001,B,F,35-39,106401
2001,W,F,35-39,431663
2001,AI,M,35-39,3371
2001,API,M,35-39,29797
2001,B,M,35-39,97152
2001,W,M,35-39,431968
2001,AI,F,40-44,3871
2001,API,F,40-44,27680
2001,B,F,40-44,104110
2001,W,F,40-44,474274
2001,AI,M,40-44,3554
2001,API,M,40-44,25498
2001,B,M,40-44,96813
2001,W,M,40-44,477950
2001,AI,F,45-49,3490
2001,API,F,45-49,25155
2001,B,F,45-49,87925
2001,W,F,45-49,442936
2001,AI,M,45-49,3335
2001,API,M,45-49,22364
2001,B,M,45-49,80664
2001,W,M,45-49,441883
2001,AI,F,50-54,3120
2001,API,F,50-54,21198
2001,B,F,50-54,70365
2001,W,F,50-54,406805
2001,AI,M,50-54,3019
2001,API,M,50-54,18297
2001,B,M,50-54,62814
2001,W,M,50-54,402208
2001,AI,F,55-59,2043
2001,API,F,55-59,13310
2001,B,F,55-59,47186
2001,W,F,55-59,312954
2001,AI,M,55-59,2197
2001,API,M,55-59,12319
2001,B,M,55-59,40492
2001,W,M,55-59,306121
2001,AI,F,60-64,1350
2001,API,F,60-64,9341
2001,B,F,60-64,37422
2001,W,F,60-64,252100
2001,AI,M,60-64,1495
2001,API,M,60-64,8530
2001,B,M,60-64,30397
2001,W,M,60-64,238499
2001,AI,F,65-69,932
2001,API,F,65-69,6982
2001,B,F,65-69,32364
2001,W,F,65-69,222940
2001,AI,M,65-69,967
2001,API,M,65-69,5688
2001,B,M,65-69,24793
2001,W,M,65-69,201431
2001,AI,F,70-74,673
2001,API,F,70-74,5207
2001,B,F,70-74,27087
2001,W,F,70-74,207853
2001,AI,M,70-74,654
2001,API,M,70-74,3748
2001,B,M,70-74,18481
2001,W,M,70-74,173200
2001,AI,F,75-79,481
2001,API,F,75-79,3232
2001,B,F,75-79,21206
2001,W,F,75-79,185514
2001,AI,M,75-79,371
2001,API,M,75-79,2211
2001,B,M,75-79,12941
