Year,MSA,Age,zone,pop,lwr,upr,CV,.width
2019,Houston,55-64,0,214180.18009522368,179441.0629263479,249325.37569233807,0.32628748717514333,0.9
1999,Houston,55-64,1,23830.841226021745,10352.765073146473,37434.47669688132,1.13641442057712,0.9
2000,Houston,55-64,1,23591,23591,23591,0,0.9
2001,Houston,55-64,1,27542.40811638495,15449.445058452258,40698.41505005741,0.9167306607654458,0.9
2002,Houston,55-64,1,31378.09939009616,15747.566589773272,47980.17522515752,1.0272326642434495,0.9
2003,Houston,55-64,1,34955.85859085265,18236.399990232425,52276.127046141446,0.973791759897342,0.9
2004,Houston,55-64,1,38528.67865100036,21242.444989832773,56172.157798189786,0.906589948873061,0.9
2005,Houston,55-64,1,41816.69313260756,25915.00944283046,57513.72518164097,0.7556483636476425,0.9
2006,Houston,55-64,1,45017.6095817544,32627.023367339694,57656.362748374435,0.5559899695602477,0.9
2007,Houston,55-64,1,47882.68210959692,38551.39989650928,57101.17684923395,0.3874005409777749,0.9
2008,Houston,55-64,1,49963.31782394439,41654.04229629528,58200.266457752376,0.3311674420774253,0.9
2009,Houston,55-64,1,51309.874257511154,41580.563694869314,60991.823177501035,0.378314306232979,0.9
2010,Houston,55-64,1,52058.83438182885,40723.48564112836,63142.36088213588,0.4306449713525056,0.9
2011,Houston,55-64,1,52290.33462239365,41538.21125207638,62989.2787710745,0.41023006783000343,0.9
2012,Houston,55-64,1,52864.17600123827,43702.981987945415,62060.70452449825,0.3472620576952307,0.9
2013,Houston,55-64,1,53485.34291451712,45329.62420673249,61877.528432863866,0.3093913832165018,0.9
2014,Houston,55-64,1,53906.88315040774,44686.78221380885,62925.96273124819,0.33834604138676455,0.9
2015,Houston,55-64,1,54444.1725541087,44917.61900850916,64259.72007482659,0.35526485496853705,0.9
2016,Houston,55-64,1,55064.70915463417,45258.30958101988,64936.58987766283,0.3573664620906629,0.9
2017,Houston,55-64,1,55481.63086233352,46991.07676156353,63665.47163402539,0.3005390182894228,0.9
2018,Houston,55-64,1,55756.733473345244,46797.91813970106,64869.79489643629,0.32412007718089453,0.9
2019,Houston,55-64,1,56032.31398124742,43286.76877972983,69191.88166225945,0.4623245238666994,0.9
1999,Houston,65-74,0,18186.53683904742,2014.3542059413485,39719.93539507873,2.0732688979125253,0.9
2000,Houston,65-74,0,13908,13908,13908,0,0.9
2001,Houston,65-74,0,22264.84030345525,4600.865044246832,43811.6458074702,1.7611076580297007,0.9
2002,Houston,65-74,0,28431.22357132042,6312.834293341857,56447.51866247812,1.7633671038944974,0.9
2003,Houston,65-74,0,33307.16156133403,8900.023279680703,62727.06948536734,1.6160802566909198,0.9
2004,Houston,65-74,0,37356.63269067239,12184.113945669744,67697.44276622083,1.486036744270376,0.9
2005,Houston,65-74,0,40817.36598644925,16477.331640182467,69021.87484167458,1.2873085249777292,0.9
2006,Houston,65-74,0,43673.313463296065,22843.64589213219,66411.05087117502,0.9975749839924044,0.9
2007,Houston,65-74,0,46591.079743047434,29506.490413204716,65146.643673874176,0.7649565851924235,0.9
2008,Houston,65-74,0,49543.00198458078,33619.04808209803,65030.60342341832,0.6340260800323823,0.9
2009,Houston,65-74,0,53089.78138918975,36057.636498749016,69978.49911757151,0.6389339291144553,0.9
2010,Houston,65-74,0,57022.28686714812,36217.96532213942,76406.3119845876,0.7047831448093261,0.9
2011,Houston,65-74,0,61010.16069314798,40547.58781375605,80480.07367625128,0.6545218928915234,0.9
2012,Houston,65-74,0,67210.76647294604,51120.67389076037,83271.1917698898,0.47835368596891087,0.9
2013,Houston,65-74,0,74703.26050589068,60535.61859347539,88910.71266744328,0.37983742452219194,0.9
2014,Houston,65-74,0,83595.50024191762,67355.34280624671,100153.46985413,0.39234321169164055,0.9
2015,Houston,65-74,0,94011.30850527227,75926.23415496497,112040.21009108404,0.3841450194695859,0.9
2016,Houston,65-74,0,103626.93363180613,85422.89202115402,121505.21097666706,0.3481944094159545,0.9
2017,Houston,65-74,0,110824.85890201812,95763.73771900592,125930.26901496772,0.27220004243481566,0.9
2018,Houston,65-74,0,115265.74018878164,98828.97997373284,131373.1915945163,0.28234071604869526,0.9
2019,Houston,65-74,0,117454.89195948462,94030.1465446818,140952.66870299692,0.3994939791396749,0.9
1999,Houston,65-74,1,18756.371628002715,8984.764541942915,28989.395761237483,1.0665512294194597,0.9
2000,Houston,65-74,1,18567,18567,18567,0,0.9
2001,Houston,65-74,1,21014.96892080671,12116.248308035336,30559.12514800439,0.8776066673935905,0.9
2002,Houston,65-74,1,23255.327026879982,11877.227009228463,35163.889535456176,1.0013474546847485,0.9
2003,Houston,65-74,1,25464.634242078915,13234.638390933942,38333.415598297346,0.9856327394598524,0.9
2004,Houston,65-74,1,27538.11581831724,15111.068477364064,40794.155913377246,0.9326377884913184,0.9
2005,Houston,65-74,1,29573.239189425112,18488.35144762307,41671.27687483175,0.7839156637091853,0.9
2006,Houston,65-74,1,31692.734627013742,22873.749571843244,40988.07003502777,0.5715606644983084,0.9
2007,Houston,65-74,1,33026.85701481014,26249.29271478552,39951.410822665406,0.4148780521784281,0.9
2008,Houston,65-74,1,33811.411086422515,27405.005092930413,40109.74333439417,0.3757529731305871,0.9
2009,Houston,65-74,1,34310.39222674381,27159.249328872476,41290.4276747458,0.4118629204960979,0.9
2010,Houston,65-74,1,34257.920992837826,25901.34474046323,42389.43023027353,0.48129264742181527,0.9
2011,Houston,65-74,1,33467.74501109369,24985.413531027796,41680.171459468474,0.49883127539386946,0.9
2012,Houston,65-74,1,33295.28704988171,26206.50637048488,39796.67478783316,0.4081709341321496,0.9
2013,Houston,65-74,1,33740.26086988804,27485.849404300312,39846.737114120006,0.3663542424134408,0.9
2014,Houston,65-74,1,34796.603907686214,28140.67608716893,41794.58660370052,0.3923920435670903,0.9
2015,Houston,65-74,1,36173.99669936886,28963.790714871186,43819.15771221133,0.4106642437328285,0.9
2016,Houston,65-74,1,37541.69062078715,30422.744083832167,44902.77506873187,0.3857053517158864,0.9
2017,Houston,65-74,1,38657.36738407446,32440.200250102414,45062.07710286566,0.3265063739949098,0.9
2018,Houston,65-74,1,39401.166088065154,32583.59167004071,46113.36659050872,0.34338513967398177,0.9
2019,Houston,65-74,1,39694.782619265534,29793.914154342572,49343.307318846906,0.49249276289061217,0.9
1999,Houston,75-84,0,7633.973562031681,1979.59727494397,14489.54171222082,1.6387199059080175,0.9
2000,Houston,75-84,0,7035,7035,7035,0,0.9
2001,Houston,75-84,0,8622.14607473642,2978.7182040882826,15277.320569970812,1.426396892290937,0.9
2002,Houston,75-84,0,10027.932224691624,3099.3374407369884,18428.462104338352,1.528642627425891,0.9
2003,Houston,75-84,0,11173.016120278256,3698.8932006961018,20771.87422729723,1.5280548101613174,0.9
2004,Houston,75-84,0,11991.555279471164,4230.551993166391,22064.029531810203,1.4871696892540431,0.9
2005,Houston,75-84,0,12660.54318465432,4715.2416361033775,22075.970000059435,1.3712467238371548,0.9
2006,Houston,75-84,0,12982.006776512288,5718.902647027232,20969.654596770302,1.1747607447976005,0.9
2007,Houston,75-84,0,13466.965512712784,7079.524934040009,20272.530200471992,0.9796568688007568,0.9
2008,Houston,75-84,0,13875.521587443214,7740.030429369998,20214.6252592012,0.8990361011812488,0.9
2009,Houston,75-84,0,14389.087855004398,7966.540215517695,20825.256201665365,0.8936435801714505,0.9
2010,Houston,75-84,0,15041.85006240332,8562.970326392357,21364.945527906024,0.8510904674892248,0.9
2011,Houston,75-84,0,15697.476703190956,9711.613151212874,21532.41777041134,0.7530385196746654,0.9
2012,Houston,75-84,0,16696.101313123894,11923.77659806142,21476.557679093887,0.5721563915956565,0.9
2013,Houston,75-84,0,17810.605357356137,13105.244594380963,22156.31414455343,0.5081842738396422,0.9
2014,Houston,75-84,0,19484.034007387443,14623.757666552196,24460.31871381525,0.5048523854728174,0.9
2015,Houston,75-84,0,21312.910815682917,16390.91445160735,26592.710801321853,0.478667434868052,0.9
2016,Houston,75-84,0,23112.186491455617,18003.768701360386,28594.842004868533,0.4582462722608949,0.9
2017,Houston,75-84,0,24368.652148039462,19980.199899377498,28990.90660374894,0.36976631492096623,0.9
2018,Houston,75-84,0,25204.837693231228,20261.74388147037,30352.315600285812,0.40034265808921554,0.9
2019,Houston,75-84,0,25523.716397859866,18520.513289136394,32320.93997202823,0.5406903316026891,0.9
1999,Houston,75-84,1,9122.03722943592,6614.762445621561,11651.54023234328,0.5521549254884128,0.9
2000,Houston,75-84,1,9100,9100,9100,0,0.9
2001,Houston,75-84,1,9533.870187183758,7181.108782236301,11887.469084042525,0.4936463586564157,0.9
2002,Houston,75-84,1,9923.589326913352,6972.8467195601315,12990.811438114251,0.6064302461845182,0.9
2003,Houston,75-84,1,10301.716458395833,7065.526187981488,13618.816365406286,0.6361357550356485,0.9
2004,Houston,75-84,1,10699.88104813249,7450.565178328912,14033.435472224051,0.6152283622857736,0.9
2005,Houston,75-84,1,11063.333180003096,7938.237379772164,14361.96706192409,0.5806323987207377,0.9
2006,Houston,75-84,1,11431.985724914552,9035.012494999824,13898.414755610063,0.42542060300259815,0.9
2007,Houston,75-84,1,11706.038178293456,9854.355794587038,13668.709332288992,0.3258449596358674,0.9
2008,Houston,75-84,1,11957.302274962747,10294.9230472018,13787.192789042292,0.29206167591438353,0.9
2009,Houston,75-84,1,12147.244213030765,10296.302010506137,14158.52607865807,0.3179506397021962,0.9
2010,Houston,75-84,1,12288.320528004228,10142.501705906976,14515.632021583586,0.35587697323735573,0.9
2011,Houston,75-84,1,12311.255794759909,10232.073656792398,14440.692457230149,0.3418513001922258,0.9
2012,Houston,75-84,1,12388.224322227254,10513.671237893,14203.28631823547,0.2978324402571943,0.9
2013,Houston,75-84,1,12514.584132588328,10798.901100766874,14131.147773384317,0.26626906953625223,0.9
2014,Houston,75-84,1,12680.450357020103,10813.47008215937,14559.612855959916,0.295426634569538,0.9
2015,Houston,75-84,1,12905.918954580018,11032.718798852577,14857.137598506815,0.29633060715115067,0.9
2016,Houston,75-84,1,13109.360609111802,11244.131496446533,14986.376543855464,0.28546358277823597,0.9
2017,Houston,75-84,1,13247.170943802776,11544.053210746397,14976.842981504902,0.259133801875216,0.9
2018,Houston,75-84,1,13379.261190681542,11462.804202486896,15370.099560945288,0.2920411899260748,0.9
2019,Houston,75-84,1,13440.60573566901,10881.164063625318,16177.721894180422,0.39407136365133966,0.9
