GEOID,Age,Race,pop
48007950400,80-84,BLACK,0
48007950400,80-84,LATINO,10
48007950400,80-84,WHITE,66
48007950500,50-54,API,8
48007950500,50-54,BLACK,4
48007950500,50-54,LATINO,68
48007950500,50-54,WHITE,317
48007950500,55-59,API,6
48007950500,55-59,BLACK,5
48007950500,55-59,LATINO,68
48007950500,55-59,WHITE,319
48007950500,60-64,API,2
48007950500,60-64,BLACK,6
48007950500,60-64,LATINO,47
48007950500,60-64,WHITE,323
48007950500,65-69,API,0
48007950500,65-69,BLACK,5
48007950500,65-69,LATINO,23
48007950500,65-69,WHITE,297
48007950500,70-74,API,0
48007950500,70-74,BLACK,2
48007950500,70-74,LATINO,18
48007950500,70-74,WHITE,240
48007950500,75-79,API,0
48007950500,75-79,BLACK,8
48007950500,75-79,LATINO,11
48007950500,75-79,WHITE,153
48007950500,80-84,API,0
48007950500,80-84,BLACK,3
48007950500,80-84,LATINO,5
48007950500,80-84,WHITE,70
48009020100,50-54,API,0
48009020100,50-54,BLACK,1
48009020100,50-54,LATINO,6
48009020100,50-54,WHITE,175
48009020100,55-59,API,0
48009020100,55-59,BLACK,1
48009020100,55-59,LATINO,4
48009020100,55-59,WHITE,147
48009020100,60-64,API,2
48009020100,60-64,BLACK,1
48009020100,60-64,LATINO,2
48009020100,60-64,WHITE,101
48009020100,65-69,API,0
48009020100,65-69,BLACK,0
48009020100,65-69,LATINO,1
48009020100,65-69,WHITE,102
